baseline,steps,matrix_multiplications,unit_exact_local_deficit,worst_angle_radians,unit_fixed_scale_deficit_grid,fixed_scale_minimum_at_worst_angle,clean_normalization_deficit,clean_normalization_grid_fraction,eps1_full_calibration_deficit_lower_bound,eps1_full_validation_deficit_lower_bound,eps1_full_combined_grid_deficit_lower_bound,eps1_diagonal_calibration_deficit_lower_bound,eps1_diagonal_validation_deficit_lower_bound,eps1_diagonal_combined_grid_deficit_lower_bound,deployed_eps_local_deficit_grid_lower_bound,deployed_eps_diagonal_grid_deficit_lower_bound,exact_rational_slope_mismatch_at_3_5_4_5,exact_global_deficit
jordan_quintic,1,3,1.178625000000001,0.7853981633974484,1.6060937199229484,-1.178625000000002,,0.0,0.10514997047001773,0.10509989843251949,0.10514997047001773,0.10514997047001773,0.10509989843251949,0.10514997047001773,1051499.7047001773,1051499.7047001773,True,infinite
jordan_quintic,2,6,3.7690671349974654,0.2588599283658582,4.0069050344517025,-4.00467854041703,0.23289725046979745,0.3212106419331218,2.569738365855982,2.5658640240231603,2.569738365855982,2.569738365855982,2.5658554878607314,2.569738365855982,25697383.65855982,25697383.65855982,True,infinite
jordan_quintic,3,9,13.415866926038593,0.07516596290327143,13.476049711160423,-13.475828363323403,0.30166137425768724,0.13107151574322676,12.04042398385763,12.029667343323169,12.04042398385763,12.040423983857629,12.029632862568018,12.040423983857629,120404239.83857632,120404239.83857629,True,infinite
jordan_quintic,4,12,46.31147061155298,0.02186019839533914,46.32774550194292,-46.32774550194292,0.468155694102141,0.19843788137661703,44.81966014802223,44.86835337179287,44.86835337179287,44.81966014802223,44.868234414516756,44.868234414516756,448683533.7179287,448682344.1451676,True,infinite
jordan_quintic,5,15,158.67514380157343,0.006520410047732726,158.6801815926051,-158.6801815926051,0.4059233960680184,0.11911154503295093,157.9107193589267,157.9591037873093,157.9591037873093,157.9107193589267,157.95894066633036,157.95894066633036,1579591037.873093,1579589406.6633036,True,infinite
classical_cubic,1,2,0.031249998215096886,0.4345005049459516,0.0,0.26580766320146365,0.031249998215096886,1.0,0.00045686257351084184,0.0004570357030966657,0.0004570357030966657,0.00045686257351084184,0.0004570357030966657,0.0004570357030966657,4570.3570309666575,4570.3570309666575,True,infinite
classical_cubic,2,4,0.05024777872769992,1.1040822663189716,0.0,0.014949131841339353,0.05024777872769992,1.0,0.00336591841395574,0.0033661687964552656,0.0033661687964552656,0.00336591841395574,0.0033661687964552656,0.0033661687964552656,33661.68796455266,33661.68796455266,True,infinite
classical_cubic,3,6,0.034575206883290965,0.3321074177256788,0.0,1.823356279961309e-07,0.034575206883290965,1.0,0.006623869518855324,0.006623330132071947,0.006623869518855324,0.006623869518855324,0.006623330132071947,0.006623869518855324,66238.69518855325,66238.69518855325,True,infinite
classical_cubic,4,8,0.02301931346556596,0.22281142574898316,0.0,5.129297908667615e-21,0.02301931346556596,1.0,0.007896551084175585,0.007901920416970798,0.007901920416970798,0.007896551084175585,0.007901920416970798,0.007901920416970798,79019.20416970798,79019.20416970798,True,infinite
classical_cubic,5,10,0.0153382235207562,0.14879694697178222,0.0,1.3596456966799988e-41,0.0153382235207562,1.0,0.007473229810548432,0.007473888530232564,0.007473888530232564,0.007473229810548432,0.007473888530232564,0.007473888530232564,74738.88530232564,74738.88530232564,True,infinite
